Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle,Circ.,Solidity
rounding_assay0000.tif,52,7201,138.481,2.747,26.113,6.621,81.913,0.548,0.809
rounding_assay0001.tif,57,7229,126.825,2.758,24.389,6.552,81.299,0.567,0.819
rounding_assay0002.tif,66,7301,110.621,2.785,21.925,6.194,86.900,0.621,0.841
rounding_assay0003.tif,74,6195,83.716,2.363,17.858,5.638,87.527,0.690,0.858
rounding_assay0004.tif,78,5724,73.385,2.184,16.348,5.373,84.065,0.710,0.865
rounding_assay0005.tif,86,6532,75.953,2.492,15.907,5.732,86.683,0.730,0.872
rounding_assay0006.tif,84,4192,49.905,1.599,11.637,5.260,84.823,0.805,0.887
rounding_assay0007.tif,85,3898,45.859,1.487,10.932,5.090,92.845,0.829,0.895
rounding_assay0008.tif,84,4068,48.429,1.552,11.531,5.088,92.081,0.810,0.888
rounding_assay0009.tif,88,4430,50.341,1.690,11.539,5.251,87.149,0.809,0.889
rounding_assay0010.tif,73,3296,45.151,1.257,10.714,5.146,86.136,0.838,0.902
rounding_assay0011.tif,82,3721,45.378,1.419,10.475,5.256,80.413,0.852,0.909
rounding_assay0012.tif,82,3948,48.146,1.506,10.873,5.407,86.028,0.846,0.903
rounding_assay0013.tif,75,3517,46.893,1.342,10.624,5.448,91.437,0.858,0.904
rounding_assay0014.tif,72,3453,47.958,1.317,10.945,5.448,93.421,0.836,0.895
rounding_assay0015.tif,75,3599,47.987,1.373,10.700,5.473,89.498,0.847,0.908
rounding_assay0016.tif,64,3429,53.578,1.308,11.862,5.693,100.436,0.815,0.892
rounding_assay0017.tif,66,3411,51.682,1.301,11.720,5.474,105.428,0.817,0.899
rounding_assay0018.tif,63,3284,52.127,1.253,11.494,5.651,98.277,0.830,0.897
rounding_assay0019.tif,57,3160,55.439,1.205,12.162,5.731,106.740,0.804,0.887
rounding_assay0020.tif,63,3244,51.492,1.237,11.312,5.629,104.761,0.838,0.901
rounding_assay0021.tif,60,3368,56.133,1.285,11.890,5.856,106.821,0.821,0.895
rounding_assay0022.tif,76,3944,51.895,1.505,10.937,5.551,93.288,0.853,0.914
rounding_assay0023.tif,65,3775,58.077,1.440,11.965,5.860,98.969,0.831,0.907
rounding_assay0024.tif,63,3841,60.968,1.465,12.302,6.016,96.121,0.824,0.901
rounding_assay0025.tif,58,3667,63.224,1.399,12.664,6.182,102.801,0.817,0.896
rounding_assay0026.tif,65,3557,54.723,1.357,11.226,5.871,96.657,0.850,0.910
rounding_assay0027.tif,55,3281,59.655,1.252,12.105,6.133,98.872,0.836,0.902
rounding_assay0028.tif,59,3469,58.797,1.323,11.808,6.134,97.643,0.838,0.903
rounding_assay0029.tif,61,3507,57.492,1.338,11.482,6.092,101.947,0.847,0.908
rounding_assay0030.tif,74,3997,54.014,1.525,10.625,5.930,89.130,0.863,0.920
rounding_assay0031.tif,63,3709,58.873,1.415,11.415,6.241,100.148,0.861,0.913
rounding_assay0032.tif,62,3652,58.903,1.393,11.204,6.313,94.619,0.855,0.911
rounding_assay0033.tif,53,3454,65.170,1.318,12.365,6.612,111.419,0.822,0.897
rounding_assay0034.tif,57,3676,64.491,1.402,11.931,6.651,99.467,0.844,0.904
rounding_assay0035.tif,60,3899,64.983,1.487,11.643,6.759,88.056,0.859,0.912
rounding_assay0036.tif,60,3811,63.517,1.454,11.544,6.764,97.801,0.854,0.911
rounding_assay0037.tif,77,4637,60.221,1.769,10.690,6.561,96.917,0.890,0.924
rounding_assay0038.tif,73,4478,61.342,1.708,10.581,6.795,94.939,0.902,0.927
rounding_assay0039.tif,59,3844,65.153,1.466,11.274,7.126,108.437,0.881,0.916
rounding_assay0040.tif,69,4237,61.406,1.616,10.717,6.852,104.776,0.900,0.927
rounding_assay0041.tif,72,4367,60.653,1.666,10.343,6.917,102.589,0.908,0.929
rounding_assay0042.tif,71,4517,63.620,1.723,10.777,7.104,119.400,0.891,0.920
rounding_assay0043.tif,73,4633,63.466,1.767,10.632,7.068,110.247,0.902,0.925
rounding_assay0044.tif,70,4437,63.386,1.693,10.712,7.079,114.273,0.892,0.924
rounding_assay0045.tif,75,4838,64.507,1.846,10.825,7.088,106.676,0.900,0.925
rounding_assay0046.tif,82,4931,60.134,1.881,10.051,6.843,103.113,0.920,0.936
rounding_assay0047.tif,71,4530,63.803,1.728,10.561,7.093,102.344,0.908,0.930
rounding_assay0048.tif,79,4617,58.443,1.761,9.958,6.764,104.875,0.913,0.936
rounding_assay0049.tif,80,4778,59.725,1.823,10.083,6.824,96.205,0.915,0.934
rounding_assay0050.tif,79,4821,61.025,1.839,10.327,6.849,103.735,0.901,0.928
rounding_assay0051.tif,71,4410,62.113,1.682,10.420,7.004,107.880,0.895,0.921
rounding_assay0052.tif,65,4198,64.585,1.601,10.676,7.193,115.487,0.903,0.927
rounding_assay0053.tif,65,4293,66.046,1.638,10.750,7.291,96.822,0.894,0.926
rounding_assay0054.tif,74,4524,61.135,1.726,10.106,6.870,94.386,0.911,0.929
rounding_assay0055.tif,66,4282,64.879,1.633,10.535,7.202,106.652,0.913,0.923
rounding_assay0056.tif,64,4019,62.797,1.533,10.154,7.154,112.158,0.907,0.923
rounding_assay0057.tif,67,3994,59.612,1.524,9.833,6.924,104.292,0.917,0.934
rounding_assay0058.tif,70,4288,61.257,1.636,9.907,7.013,106.868,0.925,0.936
rounding_assay0059.tif,66,4051,61.379,1.545,10.096,7.015,99.777,0.913,0.934
rounding_assay0060.tif,62,3853,62.145,1.470,10.141,7.028,104.336,0.908,0.930
rounding_assay0061.tif,56,3551,63.411,1.355,10.033,7.199,102.627,0.909,0.932
rounding_assay0062.tif,50,3180,63.600,1.213,10.164,7.239,112.733,0.896,0.929
rounding_assay0063.tif,53,3332,62.868,1.271,10.116,7.188,113.180,0.915,0.926
